crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,state,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,district,rf,average salinity/alkalinity (percentage)
Pigeonpea,0.82999998,0.89999998,0.56,140,2017,10,Rajasthan,37580,5713,1337,Alwar,46.03916748,0.81667436
Pigeonpea,6.29,6.02,0,141,2017,10,Rajasthan,32995,5817,500,Banswara,5.832500074,0
Pigeonpea,0.43000001,0.67000002,0,143,2017,10,Rajasthan,61795,20378,599,Bharatpur,40.22499921,1.399002977
Pigeonpea,0.02,0.029999999,0,144,2017,10,Rajasthan,22307,5226,239,Bhilwara,47.63416679,49.76963879
Pigeonpea,0.1,0.14,0,147,2017,10,Rajasthan,45171,17017,1479,Chittorgarh,50.13416718,0.395399888
Pigeonpea,1.3200001,1.02,0,149,2017,10,Rajasthan,6142,858,73,Dungarpur,6.143333475,0
Pigeonpea,0.13,0.19,0.13,150,2017,10,Rajasthan,137173,58094,5526,Ganganagar,38.69583415,2.28452903
Pigeonpea,0.090000004,0.059999999,0,151,2017,10,Rajasthan,60575,22655,1213,Jaipur,30.45583292,11.70924672
Pigeonpea,0.14,0.12,0,154,2017,10,Rajasthan,30476,14084,346,Jhalawar,60.53083334,0.072560402
Pigeonpea,0.02,0.01,0,157,2017,10,Rajasthan,82586,36328,1863,Kota,48.16166578,0.214777129
Pigeonpea,0.059999999,0.029999999,0,159,2017,10,Rajasthan,13748,11119,604,Pali,50.47333402,53.93162343
Pigeonpea,0.25,0.25,0.02,160,2017,10,Rajasthan,39972,12592,332,Swami Madhopur,0,0
Pigeonpea,2.71,3.21,0,164,2017,10,Rajasthan,34494,10333,2659,Udaipur,25.87833434,0.189476333
Pigeonpea,0.5,0.5,0.5,166,2017,9,Punjab,137546,37153,5623,Amritsar,1.718333417,2.620032594
Pigeonpea,0.30000001,0.30000001,0.30000001,168,2017,9,Punjab,84815,29066,4517,Jalandhar,3.2966665,0
Pigeonpea,0.1,0.1,0.1,170,2017,9,Punjab,27850,8908,2929,Roopnagar / Ropar,0,0
Pigeonpea,0.60000002,0.60000002,0.60000002,171,2017,9,Punjab,167082,26004,2370,Ludhiana,0.661666667,0.650642988
Pigeonpea,0.60000002,0.69999999,0.60000002,172,2017,9,Punjab,234282,61477,8041,Ferozpur,0,0
Pigeonpea,0.1,0.1,0.1,174,2017,9,Punjab,187996,33795,9297,Bhatinda,0,0
Pigeonpea,0.30000001,0.30000001,0.30000001,175,2017,9,Punjab,139068,36351,4210,Sangrur,0.25,0.4048583
Pigeonpea,0.1,0.1,0.1,176,2017,9,Punjab,158811,21365,6382,Patiala,0.945960809,3.11327832
Pigeonpea,0.059999999,0.039999999,0.021,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar,43.61833369,0
Pigeonpea,5.5100002,9.1499996,2.4779999,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut,41.55416651,0
Pigeonpea,6.5999999,5.8499999,6.5999999,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar,0,0
Pigeonpea,10.43,7.9499998,10.43,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh,44.2141659,63.80477885
Pigeonpea,1.28,0.94999999,1.28,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura,28.93833285,52.17909284
Pigeonpea,1.39,1.72,0.59600002,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra,23.6391665,17.90256009
Pigeonpea,1.4400001,1.78,0.70499998,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri,49.31499924,83.43302191
Pigeonpea,4.1599998,3.1600001,2.931,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah,39.97916642,77.89130485
Pigeonpea,0.039999999,0.029999999,0.004,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly,72.04250074,12.03570477
Pigeonpea,0.31,0.25,0.093000002,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun,58.32083433,29.65036509
Pigeonpea,0.81,0.60000002,0.154,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad,79.07666659,0
Pigeonpea,0.31,0.28,0.31,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur,70.70833324,11.61206617
Pigeonpea,2.52,3.28,1.47,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad,56.16416675,30.89250522
Pigeonpea,5.3200002,9.6099997,0.44100001,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah,41.12666675,24.0614579
Pigeonpea,12.86,29.030001,0.68000001,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur,0,0
Pigeonpea,17.469999,20.49,0.99599999,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur,62.90999927,38.81640261
Pigeonpea,23.34,42.259998,0.51200002,210,2017,12,Uttar Pradesh,108387,39828,13191,Allahabad,0,0
Pigeonpea,0.81999999,0.54000002,0,211,2017,12,Uttar Pradesh,66983,48399,2534,Jhansi,40.61249931,0.582606933
Pigeonpea,3.3900001,5.8400002,0.018999999,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun,39.69666668,2.210888043
Pigeonpea,18.27,18.09,0,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur,39.30166752,1.945764281
Pigeonpea,33.860001,48.84,0.064999998,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda,62.13166785,31.38010403
Pigeonpea,11.08,14.09,0.071999997,216,2017,12,Uttar Pradesh,87883,26904,4706,Varanasi,61.50166692,66.12474406
Pigeonpea,7.3000002,5.0900002,0.13600001,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur,67.505,74.5943704
Pigeonpea,5.3899999,6.8400002,0.079000004,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur,61.83166651,35.3579145
Pigeonpea,6.6999998,7.8499999,0.18700001,220,2017,12,Uttar Pradesh,35302,15283,2455,Ballia,66.76916746,8.71385202
Pigeonpea,3.3299999,1.8,0.086999997,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur,88.73083335,46.83190458
Pigeonpea,5.3499999,2.8900001,0.26800001,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria,78.27416732,8.073508156
Pigeonpea,8.3199997,5.9099998,0.34099999,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti,79.91083259,8.208008697
Pigeonpea,6.9400001,5.96,0.33000001,224,2017,12,Uttar Pradesh,79550,30817,4398,Azamgarh,82.60916767,71.83476231
Pigeonpea,0.75,0.88,0,225,2017,12,Uttar Pradesh,21074,9715,622,Lucknow,64.66333365,91.83590103
Pigeonpea,2.45,2.8800001,0.064000003,226,2017,12,Uttar Pradesh,41140,16272,1593,Unnao,54.60083432,84.79127544
Pigeonpea,6.73,5.5700002,0.12899999,227,2017,12,Uttar Pradesh,75823,30469,3511,Rae-Bareily,0,0
Pigeonpea,2.8699999,6.3099999,0.252,228,2017,12,Uttar Pradesh,88206,32282,7455,Sitapur,75.43833293,45.14381337
Pigeonpea,1.62,1.91,0.018999999,229,2017,12,Uttar Pradesh,94914,35036,2807,Hardoi,59.20083283,25.28892102
Pigeonpea,0.87,1.02,0.176,230,2017,12,Uttar Pradesh,45798,15564,4193,Kheri,95.24511478,14.0000795
Pigeonpea,4.5500002,3.45,0.324,231,2017,12,Uttar Pradesh,62705,23442,4158,Faizabad,0,0
Pigeonpea,14.61,10.75,0.391,232,2017,12,Uttar Pradesh,60511,21845,5206,Gonda,76.24833258,0.79923882
Pigeonpea,5.3000002,3.53,0.134,233,2017,12,Uttar Pradesh,76222,28989,12216,Bahraich,81.63500092,0
Pigeonpea,7.3099999,5.54,0.028000001,234,2017,12,Uttar Pradesh,50043,20285,2169,Sultanpur,54.785,57.49787596
Pigeonpea,6.0999999,5.1799998,0.222,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh,59.43500124,45.41164744
